product_id,product_name,product_old_image,candidate_rank,candidate_file,score
19,"The Pragmatic Programmer",/Assets/Images/products/product_19_the_new_york_public_library_kx360rhdbqu_.jpg,1,the-new-york-public-library-Kx360RHdBqU-unsplash.jpg,32.5
19,"The Pragmatic Programmer",/Assets/Images/products/product_19_the_new_york_public_library_kx360rhdbqu_.jpg,2,ferenc-almasi-tvHtIGbbjMo-unsplash.jpg,24.81
19,"The Pragmatic Programmer",/Assets/Images/products/product_19_the_new_york_public_library_kx360rhdbqu_.jpg,3,sherif-maliqi-uG7MO427TEI-unsplash.jpg,24.22
19,"The Pragmatic Programmer",/Assets/Images/products/product_19_the_new_york_public_library_kx360rhdbqu_.jpg,4,patrick-martin-UMlT0bviaek-unsplash.jpg,21.73
19,"The Pragmatic Programmer",/Assets/Images/products/product_19_the_new_york_public_library_kx360rhdbqu_.jpg,5,andrey-matveev-8xQZ3ptI-2I-unsplash.jpg,21.16
20,"Design Patterns - Gang of Four",/Assets/Images/products/product_20_lucrezia_carnelos_6n4y0ovz1ou_unsplash.jpg,1,lucrezia-carnelos-6n4Y0oVz1oU-unsplash.jpg,26.56
20,"Design Patterns - Gang of Four",/Assets/Images/products/product_20_lucrezia_carnelos_6n4y0ovz1ou_unsplash.jpg,2,Gemini_Generated_Image_v9v6fcv9v6fcv9v6.png,26.11
20,"Design Patterns - Gang of Four",/Assets/Images/products/product_20_lucrezia_carnelos_6n4y0ovz1ou_unsplash.jpg,3,swabdesign-JwZ3GhXo8g4-unsplash.jpg,24.86
20,"Design Patterns - Gang of Four",/Assets/Images/products/product_20_lucrezia_carnelos_6n4y0ovz1ou_unsplash.jpg,4,heidi-erickson-CPSjcuuV8E8-unsplash.jpg,21.9
20,"Design Patterns - Gang of Four",/Assets/Images/products/product_20_lucrezia_carnelos_6n4y0ovz1ou_unsplash.jpg,5,aboodi-vesakaran-DWrtRV5JbsU-unsplash.jpg,21.7
21,"Atomic Habits - James Clear",/Assets/Images/products/product_21_rohan_krishnan_d8kp7epgamq_unsplash.jpg,1,rohan-krishnan-d8kp7EPgAmQ-unsplash.jpg,25.43
21,"Atomic Habits - James Clear",/Assets/Images/products/product_21_rohan_krishnan_d8kp7epgamq_unsplash.jpg,2,daniel-hay-O703kpzIsQI-unsplash.jpg,25.3
21,"Atomic Habits - James Clear",/Assets/Images/products/product_21_rohan_krishnan_d8kp7epgamq_unsplash.jpg,3,rille-camera-strap-yCuatMlaAoo-unsplash.jpg,22.85
21,"Atomic Habits - James Clear",/Assets/Images/products/product_21_rohan_krishnan_d8kp7epgamq_unsplash.jpg,4,patrick-martin-UMlT0bviaek-unsplash.jpg,21.71
21,"Atomic Habits - James Clear",/Assets/Images/products/product_21_rohan_krishnan_d8kp7epgamq_unsplash.jpg,5,rezwan-ahmed-CXznHE1pKxE-unsplash.jpg,21.65
22,"Zero to One - Peter Thiel",/Assets/Images/products/product_22_arno_senoner_ocxvxwtfwqe_unsplash.jpg,1,arno-senoner-oCXVxwTFwqE-unsplash.jpg,26.88
22,"Zero to One - Peter Thiel",/Assets/Images/products/product_22_arno_senoner_ocxvxwtfwqe_unsplash.jpg,2,giorgio-trovato-K62u25Jk6vo-unsplash.jpg,24.78
22,"Zero to One - Peter Thiel",/Assets/Images/products/product_22_arno_senoner_ocxvxwtfwqe_unsplash.jpg,3,luke-peters-rDxfSzXyBqU-unsplash.jpg,22.76
22,"Zero to One - Peter Thiel",/Assets/Images/products/product_22_arno_senoner_ocxvxwtfwqe_unsplash.jpg,4,rezwan-ahmed-CXznHE1pKxE-unsplash.jpg,21.99
22,"Zero to One - Peter Thiel",/Assets/Images/products/product_22_arno_senoner_ocxvxwtfwqe_unsplash.jpg,5,robert-levonyan-XB93BUnJtqA-unsplash.jpg,21.27
23,"Python for Data Science",/Assets/Images/products/product_23_gemini_generated_image_v9v6fcv9v6fcv9v6.png,1,rohan-krishnan-d8kp7EPgAmQ-unsplash.jpg,22.05
23,"Python for Data Science",/Assets/Images/products/product_23_gemini_generated_image_v9v6fcv9v6fcv9v6.png,2,Gemini_Generated_Image_3c63y13c63y13c63.png,21.01
23,"Python for Data Science",/Assets/Images/products/product_23_gemini_generated_image_v9v6fcv9v6fcv9v6.png,3,Gemini_Generated_Image_v9v6fcv9v6fcv9v6.png,21.01
23,"Python for Data Science",/Assets/Images/products/product_23_gemini_generated_image_v9v6fcv9v6fcv9v6.png,4,thai-nguyen-ylqeFa_-PvA-unsplash.jpg,21
23,"Python for Data Science",/Assets/Images/products/product_23_gemini_generated_image_v9v6fcv9v6fcv9v6.png,5,zoshua-colah-eMMLDnWoR_I-unsplash.jpg,20.78
24,"Web Development with React",/Assets/Images/products/product_24_jj_shev_p0np7x_r73s_unsplash.jpg,1,jj-shev-P0nP7X_r73s-unsplash.jpg,20.63
24,"Web Development with React",/Assets/Images/products/product_24_jj_shev_p0np7x_r73s_unsplash.jpg,2,Gemini_Generated_Image_3c63y13c63y13c63.png,20.21
24,"Web Development with React",/Assets/Images/products/product_24_jj_shev_p0np7x_r73s_unsplash.jpg,3,Gemini_Generated_Image_v9v6fcv9v6fcv9v6.png,20.21
24,"Web Development with React",/Assets/Images/products/product_24_jj_shev_p0np7x_r73s_unsplash.jpg,4,anna-evans-eELIrBJXBPk-unsplash.jpg,20.07
24,"Web Development with React",/Assets/Images/products/product_24_jj_shev_p0np7x_r73s_unsplash.jpg,5,alora-griffiths-KKZmUQjTO2E-unsplash.jpg,19.64
25,"Machine Learning Foundations",/Assets/Images/products/product_25_manmohan_singh_83aefvhhbwg_unsplash.jpg,1,manmohan-singh-83aEFVhHbwg-unsplash.jpg,31.24
